Location,Prices_per_year (₦ or $),Bedrooms,Baths,Toilets
Obawole Ifako Ijaye Lga Ogba Lagos,"₦ 750,000",0.0,0.0,0.0
Along Badore Road By Rock Stone Estate Badore Ajah Lagos,"₦ 450,000",0.0,0.0,0.0
Prime Water Estate Ikate Lekki Lagos,"₦ 4,500,000",2.0,2.0,3.0
Ikate Lekki Ikate Lekki Lagos,"₦ 4,500,000",2.0,2.0,3.0
Obawole Ifako Ijaye Lga Ifako Ogba Ogba Lagos,"₦ 1,200,000",2.0,2.0,3.0
Off Admiralty Way Lekki Phase 1 Lekki Lagos,"₦ 5,000,000",3.0,3.0,4.0
Lekki County Westend Estate Ikota Lekki Lagos,"₦ 800,000",0.0,1.0,1.0
Agungi Lekki Lagos,"₦ 3,500,000",3.0,3.0,4.0
Salem Ikate Ikate Lekki Lagos,"₦ 4,000,000",2.0,2.0,3.0
Orchid Road Opposite Chevron Lekki Lagos,"₦ 1,100,000",1.0,1.0,1.0
Lekki Phase 1 Lekki Lagos,"₦ 5,000,000",3.0,3.0,4.0
Osapa London Lekki Lagos,"₦ 2,500,000",2.0,2.0,3.0
Ikate Lekki Ikate Lekki Lagos,"₦ 2,000,000",1.0,1.0,2.0
Obawole Ifako Ijaye Lga Off College Ifako Ogba Ogba Lagos,"₦ 1,000,000",3.0,3.0,4.0
Off College Road Ifako Ogba Ogba Lagos,"₦ 2,000,000",3.0,3.0,4.0
Amadya Abule Egba Lagos,"₦ 600,000",1.0,1.0,2.0
Single Girl Needed Working Class Oke Ira Ogba Lagos,"₦ 1,000,000",1.0,0.0,0.0
Ologolo Opposite Shoprite Lekki Lagos,"₦ 500,000",1.0,1.0,1.0
Ologolo Lekki Lekki Lagos,"₦ 2,500,000",2.0,2.0,3.0
Lekki Phase 1 Lekki Lagos,"₦ 4,000,000",2.0,2.0,3.0
Ikoyi Lagos,"₦ 13,000,000",3.0,3.0,4.0
Off Admiralty Way Lekki Phase 1 Lekki Lagos,"₦ 8,000,000",3.0,3.0,4.0
Ikate Lekki Ikate Lekki Lagos,"₦ 5,500,000",3.0,3.0,4.0
Orchid Road Chevron Drive Tollgate Lekki Lagos,"₦ 4,000,000",4.0,4.0,5.0
Hercules Toyin Iju Ishaga Iju Lagos,"₦ 450,000",0.0,0.0,0.0
Ikate Lekki Lagos,"₦ 7,000,000",2.0,2.0,3.0
Orchid Road Lekki Lagos,"₦ 1,600,000",1.0,1.0,1.0
Off College Road Ifako Ogba Ogba Lagos,"₦ 1,100,000",0.0,0.0,0.0
Salem Ikate Ikate Lekki Lagos,"₦ 3,500,000",3.0,3.0,4.0
Obawole Ifako Ijaye Lga Ifako Ogba Ogba Lagos,"₦ 1,000,000",2.0,2.0,3.0
In An Estate Behind House On The Rock Ikate Ikate Lekki Lagos,"₦ 3,500,000",3.0,3.0,4.0
Ikota Lekki Ikota Lekki Lagos,"₦ 1,000,000",1.0,1.0,1.0
Ologolo Lekki Ologolo Lekki Lagos,"₦ 4,500,000",3.0,3.0,4.0
Osapa London Osapa London Lekki Lagos,"₦ 3,800,000",3.0,3.0,4.0
Salem Ikate Lekki Lagos,"₦ 6,000,000",3.0,3.0,4.0
Friends Colony Estate Osapa London Lekki Lagos,"₦ 3,500,000",3.0,3.0,4.0
Gudugba Iju Ishaga Agege Lagos,"₦ 400,000",0.0,0.0,0.0
Opposite Shoprite Ologolo Lekki Lagos,"₦ 2,000,000",3.0,2.0,2.0
Lekki Phase 1 Lekki Lagos,"₦ 3,000,000",1.0,1.0,2.0
Oniru Estate Victoria Island Lagos,"₦ 2,000,000",1.0,1.0,2.0
Royal Pine Estate Orchid Chevron Lekki Lagos,"₦ 800,000",1.0,1.0,1.0
Around Spar Shopping Complex Ikate Lekki Lagos,"₦ 3,000,000",3.0,3.0,4.0
Lekki Phase 1 Lekki Lagos,"₦ 6,000,000",3.0,3.0,4.0
Lekki Phase 1 Lekki Lagos,"₦ 6,000,000",3.0,3.0,4.0
Ilasan Ikate Ilasan Lekki Lagos,"₦ 8,000,000",4.0,4.0,5.0
Lekki Phase 1 Lekki Phase 1 Lekki Lagos,"₦ 4,500,000",1.0,1.0,2.0
Off College Road Ifako Ogba Ogba Lagos,"₦ 1,700,000",3.0,3.0,3.0
Lekki Phase 1 Lekki Lagos,"₦ 5,000,000",2.0,2.0,3.0
Ologolo Bustop Lekki Lagos,"₦ 1,450,000",1.0,1.0,1.0
Opposite Shoprite Ologolo Ologolo Lekki Lagos,"₦ 1,500,000",1.0,1.0,1.0
